Index;Site;Indiv;Altitude;Temp_mean;Temp_onset_bud;Temp_onset_ant;Temp_Peak_bud;Temp_Peak_ant;Dur_ant_days;Dur_ant_month;Bud_max;Ant_max;Immat_max;Mat_max;Sum_Prod_Bud;Sum_Prod_Flower;Sum_Prod_Ant;Sum_Prod_Immat;Sum_Prod_Mat;Number_census;Time_observ;Mean_open_flowers;Total_open_flowers;N_visited_flowers;Number_visits;Total_interactions;Int_pollin
282;High;266;1293;18.540725;18.95;18.95;18.95186111;23.39634375;77;2.5;980;625;235;NA;2055;995;995;NA;NA;12;120;27;27;1;6;0.05;6
283;High;267;1293;17.19428271;16.24;16.24;18.69107639;18.95186111;77;3;336;368;744;NA;816;824;824;NA;NA;39;390;28.5;114;15;3;0.03;3
284;High;268;1290;17.19428271;16.99;16.24;18.69107639;18.95186111;76;2.5;1404;1548;1620;NA;3024;3024;3024;NA;NA;15;150;27.5;55;2;2;0.02;2
286;Low;300;1061;17.83976221;18.25;16.9;17.57760764;19.10068056;92;3;2702;3402;2268;616;6104;6720;6720;7000;1078;19;190;53.33;160;5;1;0.03;1
287;Low;301;1061;17.83976221;16.9;17.58;19.10068056;17.41164583;62;2;272;293;414;297;641;729;729;1069;363;19;190;21.67;65;1;1;0.03;1
289;Low;303;1061;17.83976221;18.25;16.9;19.10068056;19.10068056;122;4;1782;1254;2046;726;5170;3388;3388;6336;1166;19;190;41.67;125;1;1;0.03;1
NA;Low;ld303;NA;NA;NA;NA;NA;NA;92;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;6;1;0.03;1
291;Low;305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;5;1;0.03;1
293;Low;307;1061;17.10616157;18.25;16.9;16.90139931;16.90139931;NA;NA;1500;1160;1600;280;3860;3380;3380;5140;420;19;190;35;70;3;1;0.03;1
NA;Low;ld307;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;20;50;50;7;2;0.07;2
294;Low;308;1061;NA;NA;NA;NA;NA;0;0;0;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
295;Low;309;1061;17.83976221;17.83;17.58;19.10068056;17.41164583;62;2;781;242;99;11;2563;484;484;176;11;NA;NA;NA;NA;NA;NA;NA;NA
297;Low;311;1061;17.83976221;16.9;17.58;17.57760764;19.10068056;62;2;2438;3427;1449;184;5704;5934;5934;3726;207;17;170;55;165;0;0;0;0
298;Low;312;1059;17.83976221;17.58;19.1;19.10068056;17.41164583;47;1.5;260;168;132;4;496;284;284;208;4;8;80;25;50;0;0;0;0
300;Low;314;1060;17.83976221;17.83;17.58;19.10068056;17.41164583;62;2;5809;5550;1480;296;11692;10841;10841;3626;333;19;190;98.33;295;0;0;0;0
NA;Low;ld314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;0;0;0;0
302;Low;316;1062;17.83976221;17.83;17.58;19.10068056;17.41164583;62;2;8195;4125;3960;1760;15125;8965;8965;6985;1980;19;190;73.5;147;3;2;0.07;2
304;Low;318;1065;16.32152067;18.25;16.9;16.90139931;17.57760764;76;2.5;896;1088;304;80;2160;2160;2160;960;128;24;240;30;90;5;3;0.1;3
305;Low;319;1061;17.83976221;17.58;19.1;19.10068056;17.41164583;47;1.5;8242;7176;3198;884;11882;14560;14560;6786;1352;28;280;120;360;29;5;0.17;5
